"cod_unico","hda_nombre","NDVI","NBR","Alerta_Combustion"
"CA01120700038A",NA,NA,NA,NA
"CA011207000038",NA,NA,NA,NA
"CA010003000062",NA,NA,NA,NA
"CA012287000009",NA,NA,NA,NA
"CA012287000010",NA,NA,NA,NA
"CA01010100402A",NA,NA,NA,NA
"CA010101000401",NA,NA,NA,NA
"CA01010100401A",NA,NA,NA,NA
"CA010716000003",NA,NA,NA,NA
"CA010436000015",NA,NA,NA,NA
"CA01032400001A",NA,NA,NA,NA
"CA010131000003",NA,NA,NA,NA
"CA011539000024",NA,NA,NA,NA
"CA01183900006A",NA,NA,NA,NA
"CA010131000002",NA,NA,NA,NA
"CA010139000002",NA,NA,NA,NA
"CA010998000001",NA,NA,NA,NA
"CA01023000011A",NA,NA,NA,NA
"CA010230000008",NA,NA,NA,NA
"CA010230000005",NA,NA,NA,NA
"CA010230000004",NA,NA,NA,NA
"CA010230000001",NA,NA,NA,NA
"CA010230000002",NA,NA,NA,NA
"CA010230000003",NA,NA,NA,NA
"CA01044300003B",NA,NA,NA,NA
"CA010443000002",NA,NA,NA,NA
"CA01044300001A",NA,NA,NA,NA
"CA01030300020T",NA,NA,NA,NA
"CA01022400003E",NA,NA,NA,NA
"CA01022400001B",NA,NA,NA,NA
"CA011207000037",NA,NA,NA,NA
"CA010963000100",NA,NA,NA,NA
"CA010736000002",NA,NA,NA,NA
"CA010262000001",NA,NA,NA,NA
"CA01120700030A",NA,NA,NA,NA
"CA011207000032",NA,NA,NA,NA
"CA01120700033A",NA,NA,NA,NA
"CA010164000001",NA,NA,NA,NA
"CA010089000001",NA,NA,NA,NA
"CA010003000067",NA,NA,NA,NA
"CA01022400004A",NA,NA,NA,NA
"CA011207000044",NA,NA,NA,NA
"CA010716000002",NA,NA,NA,NA
"CA010716000007",NA,NA,NA,NA
"CA01120700041A",NA,NA,NA,NA
"CA01030300026B",NA,NA,NA,NA
"CA010034000004",NA,NA,NA,NA
"CA010034000005",NA,NA,NA,NA
"CA01030100931A",NA,NA,NA,NA
"CA010014000003",NA,NA,NA,NA
"CA010224000007",NA,NA,NA,NA
"CA010303000009",NA,NA,NA,NA
"CA010356000413",NA,NA,NA,NA
"CA010476000002",NA,NA,NA,NA
"CA01035500401A",NA,NA,NA,NA
"CA012213000006",NA,NA,NA,NA
"CA012213000002",NA,NA,NA,NA
"CA012213000003",NA,NA,NA,NA
"CA01001400004B",NA,NA,NA,NA
"CA01001400002T",NA,NA,NA,NA
"CA010251000005",NA,NA,NA,NA
"CA012287000007",NA,NA,NA,NA
"CA01120700045A",NA,NA,NA,NA
"CA01083600001A",NA,NA,NA,NA
"CA010034000006",NA,NA,NA,NA
"CA010141000116",NA,NA,NA,NA
"CA010304000122",NA,NA,NA,NA
"CA01014100105B",NA,NA,NA,NA
"CA010224000006",NA,NA,NA,NA
"CA010224000004",NA,NA,NA,NA
"CA010304000119",NA,NA,NA,NA
"CA010625000008",NA,NA,NA,NA
"CA010891000001",NA,NA,NA,NA
"CA010304000103",NA,NA,NA,NA
"CA010304000118",NA,NA,NA,NA
"CA01030400108D",NA,NA,NA,NA
