"cod_unico","hda_nombre","NDVI","NBR","Alerta_Combustion"
"CC000618000010",NA,NA,NA,NA
"CC000618000010",NA,NA,NA,NA
"CC000618000020",NA,NA,NA,NA
"CC000618000020",NA,NA,NA,NA
"CC000412000320",NA,NA,NA,NA
"CC000412000310",NA,NA,NA,NA
"CC000412000310",NA,NA,NA,NA
"CC000412000300",NA,NA,NA,NA
"CC000412000300",NA,NA,NA,NA
"CC000412000320",NA,NA,NA,NA
"CC000412000300",NA,NA,NA,NA
"CC000412000300",NA,NA,NA,NA
"CC000412000300",NA,NA,NA,NA
"CC000412000300",NA,NA,NA,NA
"CC000412000310",NA,NA,NA,NA
"CC000412000310",NA,NA,NA,NA
"CC000412000310",NA,NA,NA,NA
"CC000412000310",NA,NA,NA,NA
"CC000412000320",NA,NA,NA,NA
"CC000412000320",NA,NA,NA,NA
"CC000412000320",NA,NA,NA,NA
"CC000412000320",NA,NA,NA,NA
"CC000448000026",NA,NA,NA,NA
"CC000448000020",NA,NA,NA,NA
"CC000663000030",NA,NA,NA,NA
"CC000456000020",NA,NA,NA,NA
"CC000456000020",NA,NA,NA,NA
"CC000508000060",NA,NA,NA,NA
"CC000456000030",NA,NA,NA,NA
"CC000456000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000042",NA,NA,NA,NA
"CC000212000042",NA,NA,NA,NA
"CC000212000042",NA,NA,NA,NA
"CC000212000042",NA,NA,NA,NA
"CC000212000042",NA,NA,NA,NA
"CC000212000041",NA,NA,NA,NA
"CC000212000041",NA,NA,NA,NA
"CC000212000041",NA,NA,NA,NA
"CC000212000040",NA,NA,NA,NA
"CC000212000041",NA,NA,NA,NA
"CC000212000041",NA,NA,NA,NA
"CC000212000041",NA,NA,NA,NA
"CC000212000044",NA,NA,NA,NA
"CC000212000044",NA,NA,NA,NA
"CC000212000044",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000212000030",NA,NA,NA,NA
"CC000420000250",NA,NA,NA,NA
"CC000420000240",NA,NA,NA,NA
"CC000420000240",NA,NA,NA,NA
"CC000420000250",NA,NA,NA,NA
"CC000630000010",NA,NA,NA,NA
"CC000630000010",NA,NA,NA,NA
"CC000630000010",NA,NA,NA,NA
"CC000630000040",NA,NA,NA,NA
"CC000630000051",NA,NA,NA,NA
"CC000630000034",NA,NA,NA,NA
"CC000630000034",NA,NA,NA,NA
"CC000630000034",NA,NA,NA,NA
"CC000630000030",NA,NA,NA,NA
"CC000630000030",NA,NA,NA,NA
"CC000630000030",NA,NA,NA,NA
"CC000630000035",NA,NA,NA,NA
"CC000630000050",NA,NA,NA,NA
"CC000630000050",NA,NA,NA,NA
"CC000630000050",NA,NA,NA,NA
"CC000630000050",NA,NA,NA,NA
"CC000630000040",NA,NA,NA,NA
"CC000630000040",NA,NA,NA,NA
"CC000630000040",NA,NA,NA,NA
"CC000630000035",NA,NA,NA,NA
"CC000630000050",NA,NA,NA,NA
"CC000630000020",NA,NA,NA,NA
"CC000630000035",NA,NA,NA,NA
"CC000630000040",NA,NA,NA,NA
"CC000630000022",NA,NA,NA,NA
"CC000630000022",NA,NA,NA,NA
"CC000630000060",NA,NA,NA,NA
"CC000630000060",NA,NA,NA,NA
"CC000630000061",NA,NA,NA,NA
"CC000630000023",NA,NA,NA,NA
"CC000630000035",NA,NA,NA,NA
"CC000630000020",NA,NA,NA,NA
"CC000630000020",NA,NA,NA,NA
"CC000759000010",NA,NA,NA,NA
"CC000550000040",NA,NA,NA,NA
"CC000642000010",NA,NA,NA,NA
"CC000642000021",NA,NA,NA,NA
"CC000642000090",NA,NA,NA,NA
"CC000642000120",NA,NA,NA,NA
"CC000642000160",NA,NA,NA,NA
"CC000642000160",NA,NA,NA,NA
"CC000642000170",NA,NA,NA,NA
"CC000642000170",NA,NA,NA,NA
"CC000642000170",NA,NA,NA,NA
"CC000642000170",NA,NA,NA,NA
"CC000642000136",NA,NA,NA,NA
"CC000642000110",NA,NA,NA,NA
"CC000642000136",NA,NA,NA,NA
"CC000642000150",NA,NA,NA,NA
"CC000642000150",NA,NA,NA,NA
"CC000642000140",NA,NA,NA,NA
"CC000642000140",NA,NA,NA,NA
"CC000642000100",NA,NA,NA,NA
"CC000642000100",NA,NA,NA,NA
"CC000642000021",NA,NA,NA,NA
"CC000642000060",NA,NA,NA,NA
"CC000642000060",NA,NA,NA,NA
"CC000642000021",NA,NA,NA,NA
"CC000642000021",NA,NA,NA,NA
"CC000642000021",NA,NA,NA,NA
"CC000642000021",NA,NA,NA,NA
"CC000642000080",NA,NA,NA,NA
"CC000642000130",NA,NA,NA,NA
"CC000642000136",NA,NA,NA,NA
"CC000642000120",NA,NA,NA,NA
"CC000412000400",NA,NA,NA,NA
"CC000412000400",NA,NA,NA,NA
"CC000763000100",NA,NA,NA,NA
"CC000613000050",NA,NA,NA,NA
"CC000613000050",NA,NA,NA,NA
"CC000613000040",NA,NA,NA,NA
"CC000613000031",NA,NA,NA,NA
"CC000613000031",NA,NA,NA,NA
"CC000613000040",NA,NA,NA,NA
"CC000613000031",NA,NA,NA,NA
"CC000692000110",NA,NA,NA,NA
"CC000755000010",NA,NA,NA,NA
"CC000755000010",NA,NA,NA,NA
"CC000755000010",NA,NA,NA,NA
"CC000755000010",NA,NA,NA,NA
"CC000755000010",NA,NA,NA,NA
"CC000694000020",NA,NA,NA,NA
"CC000613000020",NA,NA,NA,NA
"CC000613000020",NA,NA,NA,NA
"CC000694000040",NA,NA,NA,NA
"CC000693000070",NA,NA,NA,NA
"CC000692000100",NA,NA,NA,NA
"CC000692000080",NA,NA,NA,NA
"CC000692000090",NA,NA,NA,NA
"CC000693000070",NA,NA,NA,NA
"CC000692000100",NA,NA,NA,NA
"CC000621000010",NA,NA,NA,NA
"CC000693000050",NA,NA,NA,NA
"CC000694000030",NA,NA,NA,NA
"CC000693000060",NA,NA,NA,NA
"CC000786000010",NA,NA,NA,NA
"CC000786000010",NA,NA,NA,NA
"CC000758000040",NA,NA,NA,NA
"CC000758000030",NA,NA,NA,NA
"CC000758000020",NA,NA,NA,NA
"CC000758000010",NA,NA,NA,NA
"CC000756000020",NA,NA,NA,NA
"CC000756000020",NA,NA,NA,NA
"CC000756000010",NA,NA,NA,NA
"CC000620000060",NA,NA,NA,NA
"CC000620000060",NA,NA,NA,NA
"CC000620000060",NA,NA,NA,NA
"CC000620000060",NA,NA,NA,NA
"CC000668000020",NA,NA,NA,NA
"CC000668000010",NA,NA,NA,NA
"CC000625000070",NA,NA,NA,NA
"CC000625000070",NA,NA,NA,NA
"CC000625000050",NA,NA,NA,NA
"CC000625000060",NA,NA,NA,NA
"CC000625000060",NA,NA,NA,NA
"CC000625000050",NA,NA,NA,NA
"CC000625000060",NA,NA,NA,NA
"CC000625000070",NA,NA,NA,NA
"CC000625000070",NA,NA,NA,NA
"CC000625000060",NA,NA,NA,NA
"CC000763000100",NA,NA,NA,NA
"CC000763000100",NA,NA,NA,NA
"CC000763000100",NA,NA,NA,NA
"CC000694000093",NA,NA,NA,NA
"CC000541000010",NA,NA,NA,NA
"CC000541000010",NA,NA,NA,NA
"CC000541000010",NA,NA,NA,NA
"CC000541000010",NA,NA,NA,NA
"CC000763000300",NA,NA,NA,NA
"CC000622000060",NA,NA,NA,NA
"CC000622000060",NA,NA,NA,NA
"CC000622000060",NA,NA,NA,NA
"CC000622000110",NA,NA,NA,NA
"CC000622000110",NA,NA,NA,NA
"CC000622000140",NA,NA,NA,NA
"CC000622000140",NA,NA,NA,NA
"CC000622000100",NA,NA,NA,NA
"CC000622000100",NA,NA,NA,NA
"CC000622000100",NA,NA,NA,NA
"CC000622000102",NA,NA,NA,NA
"CC000622000102",NA,NA,NA,NA
"CC000622000102",NA,NA,NA,NA
"CC000622000060",NA,NA,NA,NA
"CC000622000180",NA,NA,NA,NA
"CC000622000180",NA,NA,NA,NA
"CC000622000180",NA,NA,NA,NA
"CC000622000180",NA,NA,NA,NA
"CC000622000180",NA,NA,NA,NA
"CC000622000180",NA,NA,NA,NA
"CC000622000180",NA,NA,NA,NA
"CC000622000180",NA,NA,NA,NA
"CC000622000180",NA,NA,NA,NA
"CC000622000180",NA,NA,NA,NA
"CC000622000106",NA,NA,NA,NA
"CC000622000105",NA,NA,NA,NA
"CC000622000171",NA,NA,NA,NA
"CC000622000171",NA,NA,NA,NA
"CC000622000171",NA,NA,NA,NA
"CC000622000107",NA,NA,NA,NA
"CC000622000107",NA,NA,NA,NA
"CC000622000107",NA,NA,NA,NA
"CC000622000172",NA,NA,NA,NA
"CC000622000170",NA,NA,NA,NA
"CC000693000050",NA,NA,NA,NA
"CC000692000080",NA,NA,NA,NA
"CC000692000090",NA,NA,NA,NA
"CC000694000040",NA,NA,NA,NA
"CC000470000020",NA,0.271212076389801,0.297637936832388,"INTERMEDIA"
"CC000470000020",NA,0.127721714301921,0.19296439915164,NA
"CC000470000020",NA,0.0946130646085071,0.153950863241764,NA
"CC000470000020",NA,0.218327547347315,0.269954897797505,NA
"CC000470000020",NA,0.404576204456026,0.442237712245186,"INTERMEDIA"
"CC000470000020",NA,0.202276350820766,0.18529370953055,NA
"CC000470000020",NA,0.691858142087067,0.62935191480114,"BAJA (Cultivo Sano/Húmedo)"
"CC000470000020",NA,0.655291442127384,0.584118425170178,"BAJA (Cultivo Sano/Húmedo)"
"CC000470000020",NA,0.295457607909929,0.334402705707412,"INTERMEDIA"
"CC000470000020",NA,0.638670819903337,0.541067421308333,"BAJA (Cultivo Sano/Húmedo)"
"CC000470000020",NA,0.720103487427136,0.559912275404201,"BAJA (Cultivo Sano/Húmedo)"
"CC000470000030",NA,0.404339293708654,0.379568416649726,"INTERMEDIA"
"CC000470000030",NA,0.515922068846717,0.529189698152118,"INTERMEDIA"
"CC000470000030",NA,0.602484705443508,0.588648659112739,"BAJA (Cultivo Sano/Húmedo)"
"CC000470000030",NA,0.43818325760793,0.472125770164137,"INTERMEDIA"
"CC000470000030",NA,0.173285656420421,0.176808745314286,NA
"CC000470000030",NA,0.448023305372236,0.439691730053635,"INTERMEDIA"
"CC009999000999",NA,NA,NA,NA
"CC002117000090",NA,NA,NA,NA
"CC002117000090",NA,NA,NA,NA
"CC002117000090",NA,NA,NA,NA
"CC002117000090",NA,NA,NA,NA
"CC002117000090",NA,NA,NA,NA
"CC002117000090",NA,NA,NA,NA
"CC002117000010",NA,NA,NA,NA
"CC002117000070",NA,NA,NA,NA
"CC002117000080",NA,NA,NA,NA
"CC002117000080",NA,NA,NA,NA
"CC002117000051",NA,NA,NA,NA
"CC002117000090",NA,NA,NA,NA
"CC002117000090",NA,NA,NA,NA
"CC002117000051",NA,NA,NA,NA
"CC002117000040",NA,NA,NA,NA
"CC002117000092",NA,NA,NA,NA
"CC002117000094",NA,NA,NA,NA
"CC002117000092",NA,NA,NA,NA
"CC000686000180",NA,NA,NA,NA
"CC000686000042",NA,NA,NA,NA
"CC000686000140",NA,NA,NA,NA
"CC000686000140",NA,NA,NA,NA
"CC000686000150",NA,NA,NA,NA
"CC000686000030",NA,NA,NA,NA
"CC000686000030",NA,NA,NA,NA
"CC000686000030",NA,NA,NA,NA
"CC000686000042",NA,NA,NA,NA
"CC000725000020",NA,NA,NA,NA
"CC000725000020",NA,NA,NA,NA
"CC000725000020",NA,NA,NA,NA
"CC000725000020",NA,NA,NA,NA
"CC000725000020",NA,NA,NA,NA
"CC000725000020",NA,NA,NA,NA
"CC000725000060",NA,NA,NA,NA
"CC000725000050",NA,NA,NA,NA
"CC000725000050",NA,NA,NA,NA
"CC000725000050",NA,NA,NA,NA
"CC000725000050",NA,NA,NA,NA
"CC000725000050",NA,NA,NA,NA
"CC000725000050",NA,NA,NA,NA
"CC000659000250",NA,NA,NA,NA
"CC000659000230",NA,NA,NA,NA
"CC000659000230",NA,NA,NA,NA
"CC000659000230",NA,NA,NA,NA
"CC000659000210",NA,NA,NA,NA
"CC000659000210",NA,NA,NA,NA
"CC000659000210",NA,NA,NA,NA
"CC002117000030",NA,NA,NA,NA
"CC002117000032",NA,NA,NA,NA
"CC004217000014",NA,NA,NA,NA
"CC004217000014",NA,NA,NA,NA
"CC004217000050",NA,NA,NA,NA
"CC004217000090",NA,NA,NA,NA
"CC004217000090",NA,NA,NA,NA
"CC004217000090",NA,NA,NA,NA
"CC004217000090",NA,NA,NA,NA
"CC004217000060",NA,NA,NA,NA
"CC004217000060",NA,NA,NA,NA
"CC004217000060",NA,NA,NA,NA
"CC004217000060",NA,NA,NA,NA
"CC004217000060",NA,NA,NA,NA
"CC004217000014",NA,NA,NA,NA
"CC004217000014",NA,NA,NA,NA
"CC004217000070",NA,NA,NA,NA
"CC004217000080",NA,NA,NA,NA
"CC004217000081",NA,NA,NA,NA
"CC004217000090",NA,NA,NA,NA
"CC004217000050",NA,NA,NA,NA
"CC000686000180",NA,NA,NA,NA
"CC000686000180",NA,NA,NA,NA
"CC000686000180",NA,NA,NA,NA
"CC000686000180",NA,NA,NA,NA
"CC000686000180",NA,NA,NA,NA
"CC000686000170",NA,NA,NA,NA
"CC000686000170",NA,NA,NA,NA
"CC000686000170",NA,NA,NA,NA
"CC000686000170",NA,NA,NA,NA
"CC000686000170",NA,NA,NA,NA
"CC000686000170",NA,NA,NA,NA
"CC000686000110",NA,NA,NA,NA
"CC000686000110",NA,NA,NA,NA
"CC000686000110",NA,NA,NA,NA
"CC000686000100",NA,NA,NA,NA
"CC000686000100",NA,NA,NA,NA
"CC000686000110",NA,NA,NA,NA
"CC000686000110",NA,NA,NA,NA
"CC000686000100",NA,NA,NA,NA
"CC000686000100",NA,NA,NA,NA
"CC000686000100",NA,NA,NA,NA
"CC000686000080",NA,NA,NA,NA
"CC000686000083",NA,NA,NA,NA
"CC000686000080",NA,NA,NA,NA
"CC000686000080",NA,NA,NA,NA
"CC000686000080",NA,NA,NA,NA
"CC000686000080",NA,NA,NA,NA
"CC000686000110",NA,NA,NA,NA
"CC000686000100",NA,NA,NA,NA
"CC000686000100",NA,NA,NA,NA
"CC000659000230",NA,NA,NA,NA
"CC000659000230",NA,NA,NA,NA
"CC000686000020",NA,NA,NA,NA
"CC000686000020",NA,NA,NA,NA
"CC000686000020",NA,NA,NA,NA
"CC000686000020",NA,NA,NA,NA
"CC000686000022",NA,NA,NA,NA
"CC000686000022",NA,NA,NA,NA
"CC000686000020",NA,NA,NA,NA
"CC000686000024",NA,NA,NA,NA
"CC002117000062",NA,NA,NA,NA
"CC002117000062",NA,NA,NA,NA
"CC002117000060",NA,NA,NA,NA
"CC002117000060",NA,NA,NA,NA
"CC000725000060",NA,NA,NA,NA
"CC000725000060",NA,NA,NA,NA
"CC000725000060",NA,NA,NA,NA
"CC000725000060",NA,NA,NA,NA
"CC000725000060",NA,NA,NA,NA
"CC000725000060",NA,NA,NA,NA
"CC000725000060",NA,NA,NA,NA
"CC000725000060",NA,NA,NA,NA
"CC000725000060",NA,NA,NA,NA
"CC000725000050",NA,NA,NA,NA
"CC000725000050",NA,NA,NA,NA
"CC000725000050",NA,NA,NA,NA
"CC000725000050",NA,NA,NA,NA
"CC004217000110",NA,NA,NA,NA
"CC004217000110",NA,NA,NA,NA
"CC004217000110",NA,NA,NA,NA
"CC004217000110",NA,NA,NA,NA
"CC004217000050",NA,NA,NA,NA
"CC004217000050",NA,NA,NA,NA
"CC004217000050",NA,NA,NA,NA
"CC004217000050",NA,NA,NA,NA
"CC000637000030",NA,NA,NA,NA
"CC000637000030",NA,NA,NA,NA
"CC000768000130",NA,NA,NA,NA
"CC000768000130",NA,NA,NA,NA
"CC000768000130",NA,NA,NA,NA
"CC000768000130",NA,NA,NA,NA
"CC000768000130",NA,NA,NA,NA
"CC000768000130",NA,NA,NA,NA
"CC000768000130",NA,NA,NA,NA
"CC000768000162",NA,NA,NA,NA
"CC000768000162",NA,NA,NA,NA
"CC000768000162",NA,NA,NA,NA
"CC000768000170",NA,NA,NA,NA
"CC000768000170",NA,NA,NA,NA
"CC000768000170",NA,NA,NA,NA
"CC000768000170",NA,NA,NA,NA
"CC000768000171",NA,NA,NA,NA
"CC000768000170",NA,NA,NA,NA
"CC000768000170",NA,NA,NA,NA
"CC000768000171",NA,NA,NA,NA
"CC000768000162",NA,NA,NA,NA
"CC000768000110",NA,NA,NA,NA
"CC000768000020",NA,NA,NA,NA
"CC000768000010",NA,NA,NA,NA
"CC000768000020",NA,NA,NA,NA
"CC000768000090",NA,NA,NA,NA
"CC000768000100",NA,NA,NA,NA
"CC000768000080",NA,NA,NA,NA
"CC000768000070",NA,NA,NA,NA
"CC000768000060",NA,NA,NA,NA
"CC000768000030",NA,NA,NA,NA
"CC000768000051",NA,NA,NA,NA
"CC000768000110",NA,NA,NA,NA
"CC000768000110",NA,NA,NA,NA
"CC000768000041",NA,NA,NA,NA
"CC002117000052",NA,NA,NA,NA
"CC002117000052",NA,NA,NA,NA
"CC002117000052",NA,NA,NA,NA
"CC002117000052",NA,NA,NA,NA
"CC002117000052",NA,NA,NA,NA
"CC002117000052",NA,NA,NA,NA
"CC002117000052",NA,NA,NA,NA
"CC002117000052",NA,NA,NA,NA
"CC002117000052",NA,NA,NA,NA
"CC002117000052",NA,NA,NA,NA
"CC002117000052",NA,NA,NA,NA
"CC002117000052",NA,NA,NA,NA
"CC002117000040",NA,NA,NA,NA
"CC000768000140",NA,NA,NA,NA
"CC000768000150",NA,NA,NA,NA
"CC000527000010",NA,NA,NA,NA
"CC000527000010",NA,NA,NA,NA
"CC000686000160",NA,NA,NA,NA
"CC000686000150",NA,NA,NA,NA
"CC000686000150",NA,NA,NA,NA
"CC000686000150",NA,NA,NA,NA
"CC002117000020",NA,NA,NA,NA
"CC002117000020",NA,NA,NA,NA
"CC002117000020",NA,NA,NA,NA
"CC004217000030",NA,NA,NA,NA
"CC004217000015",NA,NA,NA,NA
"CC004217000030",NA,NA,NA,NA
"CC004217000030",NA,NA,NA,NA
"CC004217000020",NA,NA,NA,NA
"CC004217000040",NA,NA,NA,NA
"CC004217000040",NA,NA,NA,NA
"CC004217000040",NA,NA,NA,NA
"CC004217000040",NA,NA,NA,NA
"CC004217000040",NA,NA,NA,NA
"CC004217000020",NA,NA,NA,NA
"CC000555000060",NA,NA,NA,NA
"CC000555000040",NA,NA,NA,NA
"CC000725000050",NA,NA,NA,NA
"CC000725000050",NA,NA,NA,NA
"CC000725000150",NA,NA,NA,NA
"CC000725000150",NA,NA,NA,NA
"CC000725000150",NA,NA,NA,NA
"CC000725000150",NA,NA,NA,NA
"CC000725000150",NA,NA,NA,NA
"CC000686000150",NA,NA,NA,NA
"CC000686000150",NA,NA,NA,NA
"CC000686000140",NA,NA,NA,NA
"CC000686000140",NA,NA,NA,NA
"CC002117000041",NA,NA,NA,NA
"CC002117000041",NA,NA,NA,NA
"CC002117000033",NA,NA,NA,NA
"CC002117000033",NA,NA,NA,NA
"CC002117000033",NA,NA,NA,NA
"CC002117000033",NA,NA,NA,NA
"CC002117000033",NA,NA,NA,NA
"CC000768000190",NA,NA,NA,NA
"CC000768000190",NA,NA,NA,NA
"CC000768000180",NA,NA,NA,NA
"CC000768000180",NA,NA,NA,NA
"CC002117000091",NA,NA,NA,NA
"CC002117000091",NA,NA,NA,NA
"CC002117000091",NA,NA,NA,NA
"CC002117000091",NA,NA,NA,NA
"CC000686000050",NA,NA,NA,NA
"CC000686000050",NA,NA,NA,NA
"CC000686000050",NA,NA,NA,NA
"CC000686000050",NA,NA,NA,NA
"CC000686000130",NA,NA,NA,NA
"CC000686000130",NA,NA,NA,NA
"CC000686000130",NA,NA,NA,NA
"CC000686000130",NA,NA,NA,NA
"CC000686000130",NA,NA,NA,NA
"CC000686000130",NA,NA,NA,NA
"CC000686000130",NA,NA,NA,NA
"CC000659000260",NA,NA,NA,NA
"CC000659000261",NA,NA,NA,NA
"CC000725000070",NA,NA,NA,NA
"CC000686000180",NA,NA,NA,NA
"CC000768000150",NA,NA,NA,NA
"CC000768000150",NA,NA,NA,NA
"CC000768000150",NA,NA,NA,NA
"CC000725000200",NA,NA,NA,NA
"CC000725000204",NA,NA,NA,NA
"CC000725000200",NA,NA,NA,NA
"CC000725000200",NA,NA,NA,NA
"CC000725000110",NA,NA,NA,NA
"CC000725000090",NA,NA,NA,NA
"CC000725000090",NA,NA,NA,NA
"CC000725000090",NA,NA,NA,NA
"CC000725000110",NA,NA,NA,NA
"CC000725000114",NA,NA,NA,NA
"CC000725000110",NA,NA,NA,NA
"CC000725000114",NA,NA,NA,NA
"CC000725000114",NA,NA,NA,NA
"CC000725000110",NA,NA,NA,NA
"CC000725000110",NA,NA,NA,NA
"CC000725000114",NA,NA,NA,NA
"CC000725000114",NA,NA,NA,NA
"CC000725000114",NA,NA,NA,NA
"CC000725000180",NA,NA,NA,NA
"CC000725000184",NA,NA,NA,NA
"CC000725000180",NA,NA,NA,NA
"CC000725000180",NA,NA,NA,NA
"CC000725000180",NA,NA,NA,NA
"CC000725000182",NA,NA,NA,NA
"CC000725000182",NA,NA,NA,NA
"CC000725000182",NA,NA,NA,NA
"CC000725000180",NA,NA,NA,NA
"CC000725000180",NA,NA,NA,NA
"CC000725000090",NA,NA,NA,NA
"CC000725000090",NA,NA,NA,NA
"CC000725000220",NA,NA,NA,NA
"CC000725000220",NA,NA,NA,NA
"CC000725000220",NA,NA,NA,NA
"CC000725000220",NA,NA,NA,NA
"CC000725000220",NA,NA,NA,NA
"CC000725000220",NA,NA,NA,NA
"CC000725000220",NA,NA,NA,NA
"CC000725000220",NA,NA,NA,NA
"CC000725000220",NA,NA,NA,NA
"CC000725000220",NA,NA,NA,NA
"CC000725000220",NA,NA,NA,NA
"CC000725000240",NA,NA,NA,NA
"CC000725000240",NA,NA,NA,NA
"CC000725000240",NA,NA,NA,NA
"CC000725000240",NA,NA,NA,NA
"CC000725000240",NA,NA,NA,NA
"CC000725000240",NA,NA,NA,NA
"CC000725000240",NA,NA,NA,NA
"CC000725000240",NA,NA,NA,NA
"CC000687000180",NA,NA,NA,NA
"CC000687000010",NA,NA,NA,NA
"CC000687000010",NA,NA,NA,NA
"CC000687000010",NA,NA,NA,NA
"CC000687000010",NA,NA,NA,NA
"CC000687000010",NA,NA,NA,NA
"CC000687000010",NA,NA,NA,NA
"CC000687000010",NA,NA,NA,NA
"CC000687000170",NA,NA,NA,NA
"CC000687000170",NA,NA,NA,NA
"CC000687000170",NA,NA,NA,NA
"CC000687000180",NA,NA,NA,NA
"CC000687000180",NA,NA,NA,NA
"CC000687000180",NA,NA,NA,NA
"CC000687000180",NA,NA,NA,NA
"CC000687000180",NA,NA,NA,NA
"CC000687000180",NA,NA,NA,NA
"CC000687000180",NA,NA,NA,NA
"CC000687000180",NA,NA,NA,NA
"CC000687000150",NA,NA,NA,NA
"CC000687000150",NA,NA,NA,NA
"CC000687000150",NA,NA,NA,NA
"CC000687000040",NA,NA,NA,NA
"CC000687000040",NA,NA,NA,NA
"CC000687000040",NA,NA,NA,NA
"CC000687000040",NA,NA,NA,NA
"CC000687000040",NA,NA,NA,NA
"CC000687000040",NA,NA,NA,NA
"CC000687000040",NA,NA,NA,NA
"CC000687000040",NA,NA,NA,NA
"CC000687000030",NA,NA,NA,NA
"CC000687000030",NA,NA,NA,NA
"CC000687000030",NA,NA,NA,NA
"CC000687000030",NA,NA,NA,NA
"CC000687000030",NA,NA,NA,NA
"CC000687000030",NA,NA,NA,NA
"CC000687000010",NA,NA,NA,NA
"CC000687000083",NA,NA,NA,NA
"CC000687000080",NA,NA,NA,NA
"CC000687000080",NA,NA,NA,NA
"CC000687000080",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000083",NA,NA,NA,NA
"CC000687000080",NA,NA,NA,NA
"CC000687000080",NA,NA,NA,NA
"CC000687000080",NA,NA,NA,NA
"CC000687000080",NA,NA,NA,NA
"CC000687000080",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000130",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000072",NA,NA,NA,NA
"CC000687000072",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000070",NA,NA,NA,NA
"CC000687000083",NA,NA,NA,NA
"CC000480000041",NA,NA,NA,NA
"CC000480000041",NA,NA,NA,NA
"CC000480000010",NA,NA,NA,NA
"CC000480000041",NA,NA,NA,NA
"CC000480000041",NA,NA,NA,NA
"CC000480000010",NA,NA,NA,NA
"CC000480000010",NA,NA,NA,NA
"CC000480000011",NA,NA,NA,NA
"CC000480000030",NA,NA,NA,NA
"CC000480000030",NA,NA,NA,NA
"CC000480000030",NA,NA,NA,NA
"CC000480000030",NA,NA,NA,NA
"CC000480000030",NA,NA,NA,NA
"CC000480000040",NA,NA,NA,NA
"CC000480000040",NA,NA,NA,NA
"CC000480000011",NA,NA,NA,NA
"CC000480000011",NA,NA,NA,NA
"CC000480000030",NA,NA,NA,NA
"CC000768000140",NA,NA,NA,NA
"CC000768000140",NA,NA,NA,NA
"CC002110000201",NA,NA,NA,NA
"CC002110000252",NA,NA,NA,NA
"CC002110000240",NA,NA,NA,NA
"CC002110000230",NA,NA,NA,NA
"CC002110000220",NA,NA,NA,NA
"CC002110000171",NA,NA,NA,NA
"CC002110000170",NA,NA,NA,NA
"CC002110000030",NA,NA,NA,NA
"CC002110000031",NA,NA,NA,NA
"CC002110000070",NA,NA,NA,NA
"CC002110000010",NA,NA,NA,NA
"CC002110000010",NA,NA,NA,NA
"CC002110000010",NA,NA,NA,NA
"CC002112000241",NA,NA,NA,NA
"CC002112000241",NA,NA,NA,NA
"CC002112000431",NA,NA,NA,NA
"CC002112000450",NA,NA,NA,NA
"CC002112000381",NA,NA,NA,NA
"CC002110000050",NA,NA,NA,NA
"CC002110000050",NA,NA,NA,NA
"CC002110000020",NA,NA,NA,NA
"CC002112000380",NA,NA,NA,NA
"CC002112000381",NA,NA,NA,NA
"CC002110000041",NA,NA,NA,NA
"CC002110000041",NA,NA,NA,NA
"CC002110000118",NA,NA,NA,NA
"CC002110000117",NA,NA,NA,NA
"CC002110000112",NA,NA,NA,NA
"CC002110000110",NA,NA,NA,NA
"CC002110000100",NA,NA,NA,NA
"CC002110000114",NA,NA,NA,NA
"CC002110000100",NA,NA,NA,NA
