"cod_hda_key","fecha_visita","radicado","hda_label","ingenio_full","municipio","corregimiento","coordenadas","categoria_alerta","boletin_n"
"MY_000179",NA,NA,"El Arrastradero - Fernando Calero Campo_179","MAYAGÜEZ","Palmira","Guanabanal","3.4695, -76.434","Alerta Boletín Histórico","2, 3"
"MY_000185",NA,NA,"El Arrastradero - Patricia Calero Campo_185","MAYAGÜEZ","Palmira","Guanabanal","3.4628, -76.4373","Alerta Boletín Histórico","2, 3, 4"
"MY_000187",NA,NA,"Niagara_187","MAYAGÜEZ","Candelaria","San Joaquin","3.3822, -76.427","Alerta Inminente + Focalización Operativa + Top 10 Regional","2, 3, 6, 7"
"MY_000188",NA,NA,"El Nilo - Francisco J. GonzA lez_188","MAYAGÜEZ","Candelaria","Villa Gorgona","3.385, -76.3858","Alerta Inminente","7"
"MY_000195",NA,NA,"Valladolid_195","MAYAGÜEZ","Candelaria","Buchitolo","3.3725, -76.3513","Alerta Inminente","6, 7"
"MY_000207",NA,NA,"Tamboral Borrero_207","MAYAGÜEZ","Pradera","Bolo - Hartonal","3.4367, -76.2598","Alerta Boletín Histórico","3, 4"
"MY_000211",NA,NA,"Las Ama?sricas_211","MAYAGÜEZ","Candelaria","Villa Gorgona","3.404, -76.3769","Alerta Inminente + Focalización Operativa","7"
"MY_000234",NA,NA,"Canarias_234","MAYAGÜEZ","Pradera","La Tupia","3.3896, -76.2882","Alerta Boletín Histórico","4"
"MY_000242",NA,NA,"Zainera Muzzulini_242","MAYAGÜEZ","Candelaria","Madrevieja","3.4212, -76.3226","Alerta Inminente","4, 7"
"MY_000258",NA,NA,"Villa LizA n_258","MAYAGÜEZ","Pradera","La Floresta","3.409, -76.2393","Alerta Boletín Histórico","3, 4"
"MY_000272",NA,NA,"La Chica Gaviria_272","MAYAGÜEZ","Palmira","Caucaseco","3.4878, -76.4506","Alerta Inminente + Focalización Operativa","7"
"MY_000274",NA,NA,"La Casilda_274","MAYAGÜEZ","Florida","El Pedregal","3.3299, -76.2268","Alerta Inminente + Focalización Operativa","3, 4, 5, 6, 7"
"MY_000282",NA,NA,"La Amalia_282","MAYAGÜEZ","Palmira","Juanchito","3.4724, -76.4707","Alerta Boletín Histórico","2, 3"
"MY_000300",NA,NA,"El Uval_300","MAYAGÜEZ","Candelaria","El Lauro","3.4336, -76.3478","Focalización Operativa + Alerta Boletín Histórico","3, 4"
"MY_000302",NA,NA,"Brisuelas_302","MAYAGÜEZ","El Cerrito","Santa Helena","3.6292, -76.2418","Focalización Operativa","2, 3, 4, 5, 6, 7"
"MY_000303",NA,NA,"San Josa?s de Nima_303","MAYAGÜEZ","Palmira","Tienda Nueva","3.5781, -76.2246","Alerta Inminente","5, 7"
"MY_000367",NA,NA,"Las Mercedes_367","MAYAGÜEZ","Candelaria","El Lauro","3.4576, -76.3479","Focalización Operativa + Alerta Boletín Histórico","3, 4"
"MY_000371",NA,NA,"El Progreso_371","MAYAGÜEZ","Candelaria","La Regina","3.3799, -76.3339","Alerta Inminente","5"
"MY_000384",NA,NA,"El Retiro_384","MAYAGÜEZ","Florida","El Remolino","3.305, -76.2805","Alerta Inminente + Focalización Operativa + Top 10 Regional","3, 4, 5, 6, 7"
"MY_000409",NA,NA,"La Leona 1_409","MAYAGÜEZ","Pradera","Bolo - Hartonal","3.4348, -76.2463","Alerta Boletín Histórico + Alerta Inminente","2, 3, 4"
"MY_000417",NA,NA,"La Chica Jaramillo_417","MAYAGÜEZ","Palmira","Guanabanal","3.4842, -76.4398","Alerta Inminente","7"
"MY_000444",NA,NA,"San Marcos_444","MAYAGÜEZ","Candelaria","Cabuyal","3.326, -76.3569","Alerta Inminente","7"
"MY_000448",NA,NA,"El Carmen_448","MAYAGÜEZ","Florida","La Diana","3.335, -76.2281","Alerta Inminente","3, 4, 5, 7"
"MY_000475",NA,NA,"Guales_475","MAYAGÜEZ","Candelaria","El Lauro","3.4186, -76.3999","Alerta Boletín Histórico","2, 3, 4"
"MY_000476",NA,NA,"Las Delicias_476","MAYAGÜEZ","Pradera","Bolo - Hartonal","3.4526, -76.2867","Alerta Boletín Histórico","4"
"MY_000503",NA,NA,"Villa Alicia_503","MAYAGÜEZ","Candelaria","Cabuyal","3.3197, -76.3452","Alerta Inminente + Focalización Operativa","3, 4"
"MY_000574",NA,NA,"Lote Bayer_574","MAYAGÜEZ","Pradera","La Tupia","3.4041, -76.2969","Alerta Boletín Histórico","3, 4"
"MY_000589",NA,NA,"Lote Caicedo_589","MAYAGÜEZ","Candelaria","Cabuyal","3.3263, -76.3396","Alerta Boletín Histórico","2, 3, 4"
"MY_000609",NA,NA,"El Descanso_609","MAYAGÜEZ","Pradera","Bolo - Hartonal","3.4472, -76.2851","Alerta Inminente + Focalización Operativa","5, 6, 7"
"MY_000619",NA,NA,"Jerusala?sn_619","MAYAGÜEZ","Florida","La Diana","3.3345, -76.2109","Alerta Boletín Histórico","3, 4"
"MY_000620",NA,NA,"La Aurora Molina_620","MAYAGÜEZ","Florida","La Diana","3.3516, -76.2108","Alerta Boletín Histórico","2"
"MY_000622",NA,NA,"El Recreo Mayaguez_622","MAYAGÜEZ","Florida","La Diana","3.3301, -76.2085","Alerta Boletín Histórico + Alerta Inminente","5"
"MY_000696",NA,NA,"El Tesoro_696","MAYAGÜEZ","Candelaria","Buchitolo","3.3784, -76.3833","Alerta Inminente","7"
"MY_000714",NA,NA,"Villa Juanis_714","MAYAGÜEZ","Candelaria","Cabuyal","3.3206, -76.3494","Alerta Inminente","5, 7"
"MY_000844",NA,NA,"El Rinconcito_844","MAYAGÜEZ","Pradera","Bolo - Hartonal","3.4667, -76.2801","Alerta Boletín Histórico","4"
"MY_000A07",NA,NA,"Villa Fidela_A07","MAYAGÜEZ","Florida","El Remolino","3.311, -76.3048","Alerta Inminente","7"
"PC_002064",NA,NA,"LOS LAGOS_2064","PICHICHI","Pradera","Bolo - Hartonal","3.4566, -76.2558","Alerta Boletín Histórico","2"
"PC_002281",NA,NA,"GENOVA_2281","PICHICHI","El Cerrito","San Antonio","3.6731, -76.3879","Focalización Operativa","2, 3, 4, 5, 6, 7"
"PC_002493",NA,NA,"HERRAGRICOLA_2493","PICHICHI","Palmira","Palmaseca","3.5201, -76.3533","Alerta Inminente + Focalización Operativa","7"
"PR_080101",NA,NA,"PROVIDENCIA_080101","PROVIDENCIA","El Cerrito","Santa Helena","3.6313, -76.2744","Focalización Operativa","2, 5, 6, 7"
"PR_080102",NA,NA,"LA PAZ_080102","PROVIDENCIA","El Cerrito","Santa Helena","3.645, -76.2835","Focalización Operativa","2, 7"
"PR_080104",NA,NA,"SAMARIA_080104","PROVIDENCIA","El Cerrito","El Placer","3.6182, -76.2884","Focalización Operativa","2, 3, 4, 5, 6, 7"
"PR_080113",NA,NA,"LA ESMERALDA_080113","PROVIDENCIA","El Cerrito","El Placer","3.6234, -76.3034","Alerta Boletín Histórico","2"
"PR_080121",NA,NA,"PIEDECHINCHE_080121","PROVIDENCIA","El Cerrito","Santa Helena","3.6231, -76.2196","Focalización Operativa","2, 7"
"PR_080151",NA,NA,"SAN PABLO AZCARATE_080151","PROVIDENCIA","Palmira","Zamorano","3.5439, -76.2786","Alerta Inminente","7"
"PR_080216",NA,NA,"LA UNION MOLINA_080216","PROVIDENCIA","El Cerrito","San Antonio","3.659, -76.3621","Focalización Operativa","2, 7"
"PR_080355",NA,NA,"LA HOLANDA_080355","PROVIDENCIA","El Cerrito","San Antonio","3.6562, -76.3121","Alerta Boletín Histórico + Focalización Operativa","2, 3, 4, 5, 6"
"PR_080402",NA,NA,"EL ALBION_080402","PROVIDENCIA","El Cerrito","San Antonio","3.6581, -76.3117","Alerta Boletín Histórico + Focalización Operativa","3, 4, 5, 6"
"PR_080435",NA,NA,"TURIN_080435","PROVIDENCIA","El Cerrito","San Antonio","3.6692, -76.3664","Focalización Operativa","3, 4, 5, 6, 7"
"PR_080489",NA,NA,"EL PLACER_080489","PROVIDENCIA","El Cerrito","El Placer","3.6219, -76.2504","Focalización Operativa","3, 4, 5, 6, 7"
"PR_080500",NA,NA,"LA MERCED CABAL HNAS._080500","PROVIDENCIA",NA,NA,"3.6631, -76.3197","Focalización Operativa","5, 7"
"PR_081063",NA,NA,"JOSEPILLA PALMA_081063","PROVIDENCIA","Palmira","La Herradura","3.5354, -76.4215","Alerta Inminente","5, 6, 7"
"PR_081362",NA,NA,"VENECIA INESA_081362","PROVIDENCIA","Palmira","Obando","3.5649, -76.3882","Alerta Boletín Histórico","2, 3"
"PR_081363",NA,NA,"ESPERANZA INESA_081363","PROVIDENCIA","Palmira","Guayabal","3.5434, -76.2618","Alerta Inminente","3, 4, 5, 6, 7"
"PR_081369",NA,NA,"TRANSITO CENTRAL TUMACO_081369","PROVIDENCIA","Palmira","La Herradura","3.5454, -76.3233","Alerta Inminente + Focalización Operativa","5, 6, 7"
"PR_082512",NA,NA,"JOSEPILLA II_082512","PROVIDENCIA","Palmira","Matapalo","3.5462, -76.421","Alerta Inminente + Focalización Operativa","6, 7"
"PR_082531",NA,NA,"LA LINDA_082531","PROVIDENCIA","Palmira","Bolo - La Italia","3.4768, -76.3034","Alerta Inminente","6, 7"
"CC_000694","2026-06-04","RAD-CVC-9999","SAN JACINTO K._0694","CENTRAL CASTILLA","Candelaria","Madrevieja","3.4518, -76.2953","Alerta Inminente","7"
"MY_000030","","","Delicias_30","MAYAGÜEZ","Candelaria","Cabuyal","3.3583, -76.3504","Alerta Inminente","7"
