"cod_hda_key","fecha_visita","radicado","hda_label","ingenio_full","municipio","corregimiento","coordenadas","categoria_alerta","boletin_n"
"CC_000203",NA,NA,"PARRAGA A._0203","CENTRAL CASTILLA","Pradera","Parraga","3.358, -76.2707","Alerta Boletín Histórico","4"
"CC_000212",NA,NA,"LA RUIZA_0212","CENTRAL CASTILLA","Pradera","La Ruiza","3.4551, -76.2104","Alerta Boletín Histórico","2"
"CC_000260",NA,NA,"PORVENIR LOPEZ_0260","CENTRAL CASTILLA","Pradera","Bolo - Hartonal","3.4285, -76.2516","Alerta Inminente + Focalización Operativa","5, 6, 7"
"CC_000409",NA,NA,"REY I_0409","CENTRAL CASTILLA","Florida","El Pedregal","3.3244, -76.2205","Alerta Boletín Histórico","2, 3, 4"
"CC_000412",NA,NA,"YUNDE_0412","CENTRAL CASTILLA","Candelaria","El Lauro","3.4442, -76.3985","Alerta Boletín Histórico","2"
"CC_000413",NA,NA,"RETIRO_0413","CENTRAL CASTILLA","Palmira","Guanabanal","3.4714, -76.4158","Alerta Inminente","7"
"CC_000434",NA,NA,"SARITA_0434","CENTRAL CASTILLA","Pradera","Lomitas","3.3932, -76.2181","Focalización Operativa + Alerta Boletín Histórico + Alerta Inminente","2, 3, 4, 5, 6"
"CC_000436",NA,NA,"MONASTIR_0436","CENTRAL CASTILLA","Pradera","La Granja","3.3952, -76.2265","Alerta Boletín Histórico + Focalización Operativa","5, 6"
"CC_000445",NA,NA,"ATENAS_0445","CENTRAL CASTILLA","Florida","La Diana","3.3452, -76.2339","Alerta Inminente","5, 7"
"CC_000447",NA,NA,"ATENAS 1_0447","CENTRAL CASTILLA","Florida","La Diana","3.3436, -76.2462","Alerta Inminente + Focalización Operativa + Top 10 Regional","4, 6, 7"
"CC_000448",NA,NA,"MARGARITAS_0448","CENTRAL CASTILLA","Candelaria","San Joaquin","3.3851, -76.4176","Alerta Inminente + Focalización Operativa","3, 4, 5, 6, 7"
"CC_000453",NA,NA,"IND. DORIS_0453","CENTRAL CASTILLA","Florida","San Antonio de los Caballeros","3.3614, -76.2513","Alerta Inminente + Focalización Operativa","7"
"CC_000466",NA,NA,"LOS RANCHOS_0466","CENTRAL CASTILLA","Florida","La Diana","3.3461, -76.2172","Alerta Inminente","7"
"CC_000484",NA,NA,"WATERLOO_0484","CENTRAL CASTILLA","Florida","La Diana","3.3419, -76.2385","Focalización Operativa + Alerta Inminente","5, 6"
"CC_000513",NA,NA,"LA FRIA_0513","CENTRAL CASTILLA","Pradera","Bolivar","3.3817, -76.2134","Alerta Boletín Histórico","2"
"CC_000546",NA,NA,"LUCERNA OSCAR_0546","CENTRAL CASTILLA","Florida","El Remolino","3.3173, -76.2721","Alerta Inminente","4, 7"
"CC_000570",NA,NA,"EL CUBO 1_0570","CENTRAL CASTILLA","Pradera","La Granja","3.378, -76.2547","Alerta Inminente + Focalización Operativa","7"
"CC_000574",NA,NA,"TIERRA MEDIA_0574","CENTRAL CASTILLA","Florida","El Remolino","3.3064, -76.2729","Alerta Inminente","4, 7"
