"COD_HDA_8","LAT","LON","Notas","Fecha_Georref"
"CB000E91",NA,NA,NA,NA
"CB000F31",NA,NA,NA,NA
"CB000F93",NA,NA,NA,NA
"CB000G48",NA,NA,NA,NA
"CB000H11",NA,NA,NA,NA
"CB000H80",NA,NA,NA,NA
"CB000H84",NA,NA,NA,NA
"CB000K10",NA,NA,NA,NA
"CB000M01",NA,NA,NA,NA
"CC000024",NA,NA,NA,NA
"CC000052",NA,NA,NA,NA
"CC000057",NA,NA,NA,NA
"CC000065",NA,NA,NA,NA
"CC000074",NA,NA,NA,NA
"CC000118",NA,NA,NA,NA
"CC000123",NA,NA,NA,NA
"CC000125",NA,NA,NA,NA
"CC000130",NA,NA,NA,NA
"CC000133",NA,NA,NA,NA
"CC000139",NA,NA,NA,NA
"CC000140",NA,NA,NA,NA
"CC000147",NA,NA,NA,NA
"CC000151",NA,NA,NA,NA
"CC000154",NA,NA,NA,NA
"CC000246",NA,NA,NA,NA
"CC000258",NA,NA,NA,NA
"CC000267",NA,NA,NA,NA
"CC000281",NA,NA,NA,NA
"CC000300",NA,NA,NA,NA
"CC000462",NA,NA,NA,NA
"CC000554",NA,NA,NA,NA
"CC000580",NA,NA,NA,NA
"CC000587",NA,NA,NA,NA
"CC000588",NA,NA,NA,NA
"CC000593",NA,NA,NA,NA
"CC000594",NA,NA,NA,NA
"CC000666",NA,NA,NA,NA
"CC000677",NA,NA,NA,NA
"CC000901",NA,NA,NA,NA
"MN000524",NA,NA,NA,NA
"MN000941",NA,NA,NA,NA
"MN000962",NA,NA,NA,NA
"MN000965",NA,NA,NA,NA
"PR081298",NA,NA,NA,NA
"PR081573",NA,NA,NA,NA
"PR081590",NA,NA,NA,NA
"PR081598",NA,NA,NA,NA
"PR081599",NA,NA,NA,NA
"PR081687",NA,NA,NA,NA
"PR081709",NA,NA,NA,NA
"PR081713",NA,NA,NA,NA
"PR081749",NA,NA,NA,NA
"PR082545",NA,NA,NA,NA
"CA010006",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010007",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010044",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010048",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010053",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010056",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010067",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010074",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010086",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010093",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010117",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010140",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010160",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010165",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010188",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010192",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
