Ingenio,Hacienda,Suerte,Municipio,Corregimiento,Codigo_14,Municipio_Clean,h8,Es_Hacienda_Ausente,Hda_Real,DAR
Providencia,ZABALETAS CABA6ITA,007,El Cerrito,nd,PR080514000007,EL CERRITO,PR080514,True,ZABALETAS CABA6ITA,SURORIENTE
Providencia,EL ROSARIO ARBOLEDA,035B,El Cerrito,nd,PR08042300035B,EL CERRITO,PR080423,True,EL ROSARIO ARBOLEDA,SURORIENTE
Providencia,EL ROSARIO ARBOLEDA,036A,El Cerrito,nd,PR08042300036A,EL CERRITO,PR080423,True,EL ROSARIO ARBOLEDA,SURORIENTE
Providencia,EL JARDIN,132B,El Cerrito,nd,PR08012600132B,EL CERRITO,PR080126,True,EL JARDIN,CENTRO SUR
Providencia,EL JARDIN,130C,El Cerrito,nd,PR08012600130C,EL CERRITO,PR080126,True,EL JARDIN,CENTRO SUR
Providencia,EL JARDIN,130A,El Cerrito,nd,PR08012600130A,EL CERRITO,PR080126,True,EL JARDIN,CENTRO SUR
Providencia,EL JARDIN,133A,El Cerrito,nd,PR08012600133A,EL CERRITO,PR080126,True,EL JARDIN,CENTRO SUR
Castilla,CHUNE,021,Pradera,La Tupia,CC000138000021,PRADERA,CC000138,True,CHUNE,SURORIENTE
Castilla,CALANDA,080,Florida,Remolino,CC000110000080,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,CHUNE,040,Pradera,La Tupia,CC000138000040,PRADERA,CC000138,True,CHUNE,SURORIENTE
Castilla,DAEL,043,Pradera,La Tupia,CC000444000043,PRADERA,CC000444,True,DAEL,SURORIENTE
Manuelita,PALESTINA 2,11,El Cerrito,San Antonio,MN000481000011,EL CERRITO,MN000481,True,PALESTINA,CENTRO SUR
Castilla,AVELINA,192,Pradera,La Granja,CC000503000192,PRADERA,CC000503,True,AVELINA,SURORIENTE
Castilla,CALANDA,240,Florida,Remolino,CC000110000240,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,AVELINA,181,Pradera,La Granja,CC000503000181,PRADERA,CC000503,True,AVELINA,SURORIENTE
Castilla,CHAMORRAS,120,Pradera,La Tupia,CC000104000120,PRADERA,CC000104,True,CHAMORRAS,SURORIENTE
